"cust","x","t.x","litt","sales","first","T.cal"
450,0,0,0,103.77,2018-05-12,72.2857142857143
451,0,0,0,800,2019-04-01,26
452,0,0,0,250,2019-05-09,20.5714285714286
453,1,1.14285714285714,0.133531392624523,132.07,2018-05-12,72.2857142857143
454,0,0,0,80,2019-02-15,32.4285714285714
455,0,0,0,50,2018-07-07,64.2857142857143
456,0,0,0,110,2019-03-09,29.2857142857143
457,2,0.285714285714286,-3.89182029811063,210,2019-06-20,14.5714285714286
458,0,0,0,80,2019-02-17,32.1428571428571
459,1,13.1428571428571,2.57587842799373,356.42,2018-04-06,77.4285714285714
460,0,0,0,150,2019-02-21,31.5714285714286
461,0,0,0,84,2018-08-04,60.2857142857143
462,0,0,0,130,2018-04-17,75.8571428571429
463,0,0,0,70,2019-06-20,14.5714285714286
464,0,0,0,110,2019-02-22,31.4285714285714
465,0,0,0,70,2019-02-22,31.4285714285714
466,2,51.7142857142857,2.68743091389947,490,2018-06-22,66.4285714285714
467,2,9.14285714285714,1.58881862523136,472.5,2019-07-01,13
468,0,0,0,120,2019-01-31,34.5714285714286
469,0,0,0,100,2018-07-19,62.5714285714286
